OCC_TITLE,OCC_TITLE_URL,MEDIAN_PAY_YEAR,MEDIAN_PAY_HOUR,JOB_OUTLOOK,EDUCATION,EXPERIENCE,TRAINING,JOBS_2023,EMPLOYMENT_CHANGE,DUTIES,EDUCATION_DETAILS,QUALITIES,CERTIFICATIONS
"Nurse Anesthetists, Nurse Midwives, and Nurse Practitioners",https://www.bls.gov/ooh/healthcare/nurse-anesthetists-nurse-midwives-and-nurse-practitioners.htm,"$129,480 per year",$62.25 per hour,40% (Much faster than average),Master's degree,None,None,"349,600","141,200","Take and record patients' medical histories and symptoms, Perform physical exams and observe patients, Create patient care plans or contribute to existing plans, Perform and order diagnostic tests, Operate and monitor medical equipment, Diagnose various health problems, Analyze test results or changes in a patient’s condition and alter treatment plans, as needed, Give patients medicines and treatments, Evaluate a patient’s response to medicines and treatments, Consult with doctors and other healthcare professionals, as needed, Counsel and teach patients and their families how to stay healthy or manage their illnesses or injuries, Conduct research","Nurse anesthetists, nurse midwives, and nurse practitioners, also referred to as advanced practice registered nurses (APRNs), must have at least a master’s degree in their specialty role. APRNs also must be licensed registered nurses in their state, pass a national certification exam, and have a state APRN license. Nurse anesthetists, nurse midwives, and nurse practitioners typically need at least a master's degree in an advanced practice nursing field. Accredited healthcare and related programs in these specialties typically include classroom education and clinical experience. Courses in subjects such as advanced health assessment, pathophysiology, and pharmacology are common as well as coursework specific to the chosen APRN role. An APRN must have a registered nursing (RN) license before pursuing education in one of the advanced practice roles, and a strong background in science is helpful. Most APRN programs prefer candidates who have a bachelor’s degree in nursing. However, some schools offer bridge programs for registered nurses with an associate’s degree or diploma in nursing. Graduate-level programs are also available for individuals who did not obtain a bachelor’s degree in nursing but in a related health science field. These programs prepare the student for the RN licensure exam in addition to offering the APRN curriculum. Although a master’s degree is the most common form of entry-level education, APRNs may choose to earn a Doctor of Nursing Practice (DNP) or a Ph.D. The specific educational requirements and qualifications for each of the roles are available on professional organizations’ websites. Prospective nurse anesthetists must have 1 year of experience working as registered nurse in a critical care setting as a prerequisite for admission to an accredited nurse anesthetist program. States’ requirements for APRNs vary. In general, APRNs must have a registered nursing license, complete an accredited graduate-level program, pass a national certification exam, and have an APRN license. Details are available from each state’s board of nursing. To become licensed and use an APRN title, most states require national certification. The National Board of Certification and Recertification for Nurse Anesthetists (NBCRNA) offers the National Certification Examination (NCE). Certified registered nurse anesthetists (CRNAs) must maintain their certification through the Continued Professional Certification (CPC) Program. The American Midwifery Certification Board offers the Certified Nurse-Midwife (CNM). Individuals with this designation must recertify via the Certificate Maintenance Program. There are several different certifications for nurse practitioners, including those available from the American Academy of Nurse Practitioners Certification Board (AANPCB), the American Nurses Credentialing Center (ANCC), and the Pediatric Nursing Certification Board (PNCB). Each of these certifications requires periodic renewal. In addition, APRN positions may require cardiopulmonary resuscitation (CPR), basic life support (BLS), or advanced cardiac life support (ACLS) certification. Communication skills. Advanced practice registered nurses have to be able to communicate with patients and other healthcare professionals to ensure the appropriate course of action. Critical-thinking skills. APRNs must be able to assess changes in a patient’s health, quickly determine the most appropriate course of action, and decide if a consultation with another healthcare professional is needed. Compassion. APRNs should be caring and sympathetic when treating patients. Detail oriented. APRNs need to be thorough in providing treatments and medications that affect their patients’ health. During an evaluation, they must notice even small changes in a patient’s condition. Interpersonal skills. APRNs must work with patients and families as well as with other healthcare providers and staff. They work as part of a team to determine and execute healthcare options for the patients they treat. Leadership skills. APRNs often work in positions of seniority. They must effectively direct and sometimes manage other nurses on staff when providing patient care. Resourcefulness. APRNs should know where to find the answers that they need. Some APRNs take on managerial or administrative roles; others go into academia. APRNs who earn a doctoral degree may conduct independent research or work on an interprofessional research team.","Communication skills., Critical-thinking skills., Compassion., Detail oriented., Interpersonal skills., Leadership skills., Resourcefulness.","National Board of Certification and Recertification for Nurse Anesthetists, American Midwifery Certification Board, American Academy of Nurse Practitioners Certification Board, Pediatric Nursing Certification Board"
Nursing Assistants and Orderlies,https://www.bls.gov/ooh/healthcare/nursing-assistants.htm,"$38,130 per year",$18.33 per hour,4% (As fast as average),See How to Become One,None,See How to Become One,"1,469,400","64,700","Clean and bathe patients, Help patients use the toilet and dress, Turn, reposition, and transfer patients between beds and wheelchairs, Listen to and record patients’ health concerns and report that information to nurses, Measure patients’ vital signs, such as blood pressure and temperature, Serve meals and help patients eat, Help patients to move around the facility, such as by pushing their wheelchairs, Clean equipment and facilities, Change linens, Stock supplies","Nursing assistants typically must complete a state-approved education program and pass their state’s competency exam. Orderlies typically have at least a high school diploma or equivalent. Nursing assistants often need to complete a state-approved education program that includes both instruction on the principles of nursing and supervised clinical work. These programs are available in high schools, community colleges, vocational and technical schools, hospitals, and nursing homes. In addition, nursing assistants typically complete a brief period of on-the-job training to learn about their specific employer’s policies and procedures. Orderlies typically have at least a high school diploma or equivalent and receive a short period of on-the-job training. Specific requirements for nursing assistants vary by state. Nursing assistants often need a state-issued license or certification. After completing an approved education program, nursing assistants often must pass a competency exam, which allows them to use state-specific titles. In some states, a nursing assistant is called a Certified Nursing Assistant (CNA), but titles vary by state. Nursing assistants who have passed the competency exam are placed on a state registry. They must be on the state registry to work in a nursing home. Some states have other requirements as well, such as continuing education and a criminal background check. Check with state certifying agencies for more information. In some states, nursing assistants may earn additional credentials, such as Certified Medication Assistant (CMA). As a CMA, they may dispense medications. Orderlies do not need a license; however, jobs might require certification in cardiopulmonary resuscitation (CPR) or basic life support (BLS). Communication skills. Nursing assistants and orderlies must listen and respond to patients’ concerns. They also need to share information with other healthcare workers. Compassion. Nursing assistants and orderlies help and care for people who are sick, injured, or need aid for other reasons. They need an empathetic attitude to do their work. Patience. The routine tasks of cleaning, feeding, and bathing patients may be stressful. Nursing assistants and orderlies must be able to complete these tasks with professionalism. Physical stamina. Nursing assistants and orderlies spend much of their time on their feet. They must be able to perform tasks such as lifting or moving patients.","Communication skills., Compassion., Patience., Physical stamina.",
Occupational Health and Safety Specialists and Technicians,https://www.bls.gov/ooh/healthcare/occupational-health-and-safety-specialists-and-technicians.htm,"$77,580 per year",$37.30 per hour,14% (Much faster than average),See How to Become One,None,See How to Become One,"153,500","21,900","Inspect, test, and evaluate workplace environments, programs, equipment, and practices to ensure that they follow government safety regulations, Design and implement workplace programs and procedures that control or prevent chemical, physical, or other risks to workers, Educate employers and workers about maintaining workplace safety, Demonstrate use of safety equipment and ensure proper use by workers, Investigate incidents to determine the cause and possible prevention, Prepare written reports of their findings","Occupational health and safety specialists typically need a bachelor’s degree in occupational health and safety or a related field. Technicians typically need at least a high school diploma to enter the occupation, and they receive training on the job. Some pursue professional certification. Occupational health and safety specialists typically need a bachelor’s degree in occupational health and safety or a related field, such as biology or healthcare and related majors. For some positions, a master’s degree is required. In addition to science, coursework should include topics such as ergonomics, safety management, and industrial hygiene. Occupational health and safety technicians typically need at least a high school diploma to enter the occupation. High school students interested in this occupation should take classes in chemistry, biology, and physics. Some technicians earn an associate’s degree or certificate from a community college or university. These programs typically take 2 years or less and include courses in hazardous materials, fire prevention, and safety regulations. Employers may prefer or require occupational health and safety specialists and technicians to have professional certification. This certification is available through several organizations, such as the Board for Global EHS Credentialing, Board of Certified Safety Professions, and National Association of Safety Professionals. Obtaining certification typically requires graduating from an accredited educational program, completing work experience, and passing an examination. Maintaining certification usually requires completing a specified number of hours of continuing education. Occupational health and safety technicians usually receive some on-the-job training. They may learn about specific laws and regulations, how to perform inspections, and how to conduct tests. The length of training varies with the employee’s level of experience, education, and industry in which he or she works. Occupational health and safety specialists sometimes receive on-the-job training. However, training is less common for specialists than it is for technicians. Some employers prefer to hire occupational health and safety specialists who have prior experience in the industry. Specialists may gain this experience by working in a related occupation, such as health and safety engineer. Communication skills. Occupational health and safety specialists and technicians deliver safety trainings and instruction to employees and managers. They also write reports that effectively convey their findings. Detail oriented. Occupational health and safety specialists and technicians must be meticulous when checking work environments. They need to ensure that sites follow safety standards and government regulations. Physical stamina. Occupational health and safety specialists and technicians must be able to stand for long periods and may have to squat or kneel. Some work in uncomfortable environments, such as tunnels or mines. Problem-solving skills. Occupational health and safety specialists and technicians determine proper design and implementation of workplace processes or procedures to help protect workers from hazardous conditions. Technology skills. Occupational health and safety specialists and technicians use a variety of digital tools and testing equipment, such as devices that measure air quality.","Communication skills., Detail oriented., Physical stamina., Problem-solving skills., Technology skills.",
Occupational Therapists,https://www.bls.gov/ooh/healthcare/occupational-therapists.htm,"$96,370 per year",$46.33 per hour,11% (Much faster than average),Master's degree,None,None,"150,500","16,800","Evaluate clients' conditions by reviewing their medical history, interviewing them, and observing them perform various tasks, Develop and implement treatment plans that have specific activities to help clients work toward their goals, Help clients relearn and perform daily living tasks, such as teaching a person who has had a stroke how to get dressed, Demonstrate exercises—for example, stretching the joints for arthritis relief—to help relieve clients’ pain, Evaluate a client’s home, school, or workplace to identify potential accessibility improvements, such as labeling kitchen cabinets for an older person with poor memory, Educate a client’s family about how to accommodate and care for them, Recommend special equipment, such as mobility aids and eating aids, and instruct clients and families on how to use it, Assess and record clients’ activities and progress for client evaluations, billing, and other purposes","To enter the occupation, occupational therapists typically need a master’s degree in occupational therapy. All states require occupational therapists to be licensed. Occupational therapists typically need a master’s degree in occupational therapy to enter the occupation. Occupational therapy programs are accredited by the Accreditation Council for Occupational Therapy Education. Admission to graduate programs in occupational therapy requires a bachelor’s degree, although it may not need to be in a particular subject. However, master’s degree programs frequently require applicants to have completed coursework in biology, psychology, and other sciences. Some programs also require applicants to have volunteered or worked in an occupational therapy setting. To learn about specific requirements, applicants should contact the program in which they are interested in enrolling. Master’s degree programs usually take 2 to 3 years to complete and typically include courses such as kinesiology, neuroscience, and anatomy. Additionally, these programs require a specified number of hours of supervised fieldwork during which prospective occupational therapists gain clinical experience. Some schools offer a dual-degree program in which the student earns a bachelor’s degree and a master’s degree upon completion. All states require occupational therapists to be licensed. Licensing requirements vary by state, but at a minimum, candidates must pass the national certification examination administered by the National Board for Certification in Occupational Therapy (NBCOT). To sit for the NBCOT exam, candidates must have earned a degree from an accredited occupational therapy program that includes fieldwork. Therapists must pass the NBCOT exam to use the title “Occupational Therapist Registered” (OTR). They also must complete a specified number of hours of continuing education to maintain state licensure and NBCOT certification. The American Occupational Therapy Association offers board and specialty certifications in a number of areas, such as gerontology, pediatrics, and physical rehabilitation. Some employers require candidates to have cardiopulmonary resuscitation (CPR) or basic life support (BLS) certification. Adaptability. Occupational therapists must be accommodating when working with clients. They must be able to change treatment plans based on clients’ needs. Communication skills. Occupational therapists must listen closely to clients. They also must be able to explain treatment plans and goals to clients, clients’ families, and other members of the healthcare team. Compassion. Occupational therapists work with patients who may struggle with life’s daily activities. Because of this, they must be empathetic and sensitive to a client’s needs and concerns. Interpersonal skills. Occupational therapists spend much of their time interacting with clients and explaining treatment. They must be able to develop a rapport with clients. Patience. Occupational therapists work with clients who have problems with everyday activities. Therapists must remain calm in order to provide quality care.","Adaptability., Communication skills., Compassion., Interpersonal skills., Patience.",National Board for Certification in Occupational Therapy
Occupational Therapy Assistants and Aides,https://www.bls.gov/ooh/healthcare/occupational-therapy-assistants-and-aides.htm,"$65,450 per year",$31.47 per hour,21% (Much faster than average),See How to Become One,None,See How to Become One,"52,100","10,800","Guide clients in therapeutic activities, such as exercises to improve motor skills and functional abilities, Lead children who have disabilities in play activities that promote coordination, socialization, and meeting developmental milestones, Teach clients new ways of accomplishing everyday tasks, Instruct clients in the use of special equipment—for example, showing a client with Parkinson’s disease how to use adaptive devices to simplify meal preparation, Record clients’ progress, report to occupational therapists, and do other administrative tasks, Prepare treatment areas, such as by setting up therapy equipment, Escort clients to and from treatment areas, Clean treatment areas and equipment, Help clients complete paperwork, such as forms for billing and insurance, Do clerical tasks, including scheduling appointments and answering telephones","Occupational therapy assistants typically need an associate’s degree from an accredited occupational therapy assistant program. Occupational therapy assistants usually need a state-issued license. Occupational therapy aides typically need a high school diploma or equivalent and are trained on the job. Occupational therapy assistants typically need an associate’s degree from an accredited program, although some bachelor’s degree programs also are available. A list of accredited programs is available from the Accreditation Council for Occupational Therapy Education, part of the American Occupational Therapy Association. Associate’s degree programs generally require 2 years of full-time study and include coursework in subjects such as anatomy, psychology, and kinesiology. In addition to taking coursework, occupational therapy assistants must complete several months of fieldwork to gain hands-on work experience. Occupational therapy aides typically need a high school diploma or equivalent. They are trained on the job under the supervision of experienced assistants or aides. Training may last several days or a few weeks and covers a number of topics, including therapy equipment setup and infection control procedures. Occupational therapy assistants usually need a state-issued license. Licensure requires completing an accredited occupational therapy assistant education program, fieldwork, and passing the National Board for Certification in Occupational Therapy (NBCOT) exam. Some states have additional requirements, such as a background check. Occupational therapy assistants must pass the NBCOT exam to use the title “Certified Occupational Therapy Assistant” (COTA). They also need continuing education to maintain their certification. Other credentials for occupational therapy assistants are available, such as those offered by the American Occupational Therapy Association. Optional certifications may demonstrate that an assistant has particular knowledge, skills, or abilities in a specialized area of practice, such as low vision. Occupational therapy aides typically are not regulated by state law. Both occupational therapy assistants and aides may need certifications in cardiopulmonary resuscitation (CPR) and basic life support (BLS). With additional education and licensure, occupational therapy aides may advance to become occupational therapy assistants or occupational therapists. Occupational therapy assistants may advance by gaining additional education and becoming occupational therapists. Adaptability. Occupational therapy assistants must be flexible when treating clients. Because not every type of therapy helps clients achieve their goals, assistants may need to work creatively with occupational therapists in their approach. Compassion. Occupational therapy assistants and aides frequently help clients who feel frustrated by their challenges. Assistants and aides should be encouraging and empathetic in working with these clients. Detail oriented. Occupational therapy assistants and aides must be precise in following the occupational therapist’s instructions, both written and spoken. They also must be attentive in recording client progress or completing paperwork. Interpersonal skills. Occupational therapy assistants and aides should be friendly and courteous in their interactions with clients. They also must be professional and able to work collaboratively as part of an interdisciplinary team. Physical stamina. Occupational assistants and aides spend long periods of time standing. Frequent kneeling and stooping also are part of the job. Physical strength. Occupational assistants and aides must be moderately strong to do tasks requiring physical exertion, such as lifting and moving clients.","Adaptability., Compassion., Detail oriented., Interpersonal skills., Physical stamina., Physical strength.",National Board for Certification in Occupational Therapy
Opticians,https://www.bls.gov/ooh/healthcare/opticians-dispensing.htm,"$44,170 per year",$21.23 per hour,3% (As fast as average),High school diploma or equivalent,None,Long-term on-the-job training,"77,300","2,300","Receive customers’ prescriptions for eyeglasses or contact lenses, Measure customers’ eyes and faces, such as the distance between their pupils, Help customers choose eyeglass frames and lens treatments that best fit their vision needs and lifestyle, Create work orders for the optical laboratory, Adjust, repair, and replace eyewear, Assist customers with inserting and removing contact lenses, Educate customers about caring for eyewear","Opticians typically need a high school diploma or the equivalent and receive on-the-job training. Some states require opticians to be licensed, which may include completing an associate’s degree or a certificate in ophthalmic dispensing or a related field. Opticians typically need at least a high school diploma to enter the occupation. High school students interested in becoming an optician should take classes in math and sciences. Some opticians complete a postsecondary education program at a community college or technical school. These programs award a 2-year associate’s degree or a 1-year certificate. A list of accredited programs is available from the Commission on Opticianry Accreditation. Education programs typically include both classroom instruction and clinical experience. Coursework includes topics such as optics, eye physiology, and lens dispensing. Clinical work, which is supervised by an optician, provides students with hands-on experience assisting customers. Opticians who do not complete a postsecondary education program may enter the occupation through an apprenticeship or on-the-job training. Under the supervision of an experienced optician, apprentices and trainees learn skills such as measuring the distance between a customer’s pupils and adjusting frames. The National Academy of Opticianry offers the Ophthalmic Career Progression Program (OCPP), a program designed for workers who are already employed in the optical field. Participants complete a series of tests that prepare them for certifications or state licensure exams. Some states require opticians to be licensed. In addition to passing one or more exams, licensure usually requires completing an approved educational program or completing an apprenticeship or other supervised work experience. For more information, contact the opticianry licensing board in your state. Employers may require or prefer to hire candidates who have certification in eyeglass dispensing and contact lens dispensing offered by the American Board of Opticianry (ABO) and National Contact Lens Examiners (NCLE). Both specialties require passing a separate examination. Many state licensing boards require a passing score on the ABO and NCLE exams for licensure. Other states require opticians to pass state-specific examinations. Maintaining ABO-NCLE certification requires completing a specified number of continuing education credits. Some states require continuing education to maintain licensure. Business skills. Opticians may be responsible for operating an optical store. They should have some knowledge of sales and inventory management. Communication skills. Opticians must be able to clearly explain options for frames and lenses. They also need to provide instruction about caring for eyewear in ways that customers understand. Customer-service skills. Opticians must be knowledgeable about the products they sell. When interacting with customers, they should be friendly, patient, and helpful. Decision-making skills. Opticians must decide which materials and designs are most appropriate for each customer’s preferences and lifestyle. They also determine what adjustments, if any, need to be made to eyeglasses and lenses. Detail oriented. Opticians must be precise when taking customers’ measurements and recording lens type, product number, and other information for work orders. They also must maintain customer files in an orderly manner. Dexterity. Opticians frequently use special tools, such as pliers and pupilometers, to adjust and repair eyeglasses. They must have good hand-eye coordination to work accurately.","Business skills., Communication skills., Customer-service skills., Decision-making skills., Detail oriented., Dexterity.",
Optometrists,https://www.bls.gov/ooh/healthcare/optometrists.htm,"$131,860 per year",$63.39 per hour,9% (Much faster than average),Doctoral or professional degree,None,None,"49,300","4,300","Perform vision tests and analyze results, Diagnose vision problems, such as nearsightedness or farsightedness, and eye diseases, such as glaucoma, Prescribe eyeglasses, contact lenses, and other visual aids, As permitted by state law, perform minor surgical procedures and prescribe medications to correct or treat visual or eye issues, Provide treatments such as vision therapy or low-vision rehabilitation, Provide pre- and postoperative care to patients undergoing eye surgery, Evaluate patients for the presence of other diseases and conditions, such as diabetes or high blood pressure, and refer patients to other healthcare providers as needed, Promote eye and general health by counseling patients","Optometrists typically need a Doctor of Optometry (O.D.) degree. O.D. programs take 4 years to complete, and applicants typically have bachelor’s degree before entering a program. Every state requires optometrist to be licensed. Optometrists typically need a Doctor of Optometry (O.D.) degree from a program accredited by the Accreditation Council on Optometric Education. Applicants to these graduate programs must have completed at least 3 years of undergraduate education. However, applicants to O.D. programs typically have a bachelor’s degree in a field such as biology or physical science. Programs that do not require a specific field of degree for admissions might require that applicants have completed courses in subjects such as chemistry, physics, and calculus. Applicants to O.D. programs also must take the Optometry Admission Test (OAT), which covers four subject areas: natural sciences, reading comprehension, physics, and quantitative reasoning. O.D. programs take 4 years to complete. They include both academic coursework and supervised clinical experience. Coursework includes anatomy, visual science, and the diagnosis and treatment of diseases and disorders of the visual system. During clinical training, students gain experience treating patients in a variety of settings, such as hospitals and private practice. After finishing an O.D. degree, optometrists may choose to get 1 year of advanced clinical training in the area in which they wish to specialize. Areas of specialization include primary care, cornea and contact lenses, and ocular disease. All states require optometrists to be licensed. Prospective optometrist must have an O.D. degree from an accredited optometry school and must complete all sections of the National Board of Examiners in Optometry exam. Some states require candidates to pass an additional exam, such as on clinical skills or on laws relating to optometry. All states require optometrists to take continuing education classes and to renew their license periodically. For more information, contact the licensing board for the state in which you plan to practice. Optometrists may obtain an optional credential to become board certified by the American Board of Optometry. This certification requires passing an examination. Decision-making skills. Optometrists must evaluate the results of diagnostic tests and decide on the best course of treatment for a patient. Communication skills. Optometrists must explain diagnosis, treatment, and eye care in a way that patients can understand. Compassion. Optometrists treat a variety of patients, including those who are frustrated by visual problems. They must be understanding of and sympathetic to their patients’ concerns. Detail oriented. Optometrists must take care to provide appropriate treatment, including accurate prescriptions. They also must monitor and record specific information related to patient care.","Decision-making skills., Communication skills., Compassion, Detail oriented.",
Orthotists and Prosthetists,https://www.bls.gov/ooh/healthcare/orthotists-and-prosthetists.htm,"$78,100 per year",$37.55 per hour,15% (Much faster than average),Master's degree,None,Internship/residency,"9,100","1,400","Evaluate and interview patients to determine their needs, Take measurements or impressions, as needed, for fitting the patient with a brace or artificial limb, Select materials to be used for the device, Design and fabricate medical supportive devices based on physicians' prescriptions, Instruct patients and their families in the use and care of patients' devices, Adjust, repair, or replace patients' devices, Document care and interactions with patients","Orthotists and prosthetists typically need to complete a master's degree program and residency to enter the occupation. Some states require these workers to be licensed. To enter the occupation, orthotists and prosthetists typically need a master's degree in orthotics and prosthetics from a program accredited by a professional organization, such as the Commission on Accreditation of Allied Health Education Programs (CAAHEP). Master's degree programs, which typically require a bachelor’s degree to enter, take about 2 years to complete. Master's degree programs include academic coursework and supervised clinical experience. Applicants to these programs may need to have completed undergraduate coursework in sciences, mathematics, and other subjects. Graduate-level coursework includes topics such as patient assessment, spinal orthotics, and limb prosthetics. In clinical training, students gain experience by working in settings such as hospitals or orthotics and prosthetics clinics. Following graduation from a master's degree program, candidates typically complete a residency that has been accredited by the National Commission on Orthotic and Prosthetic Education (NCOPE). Residency programs in either orthotics or prosthetics typically last about 1 year, although they may take longer for candidates who want to specialize in both disciplines. Some states require orthotists and prosthetists to be licensed. Requirements vary; contact your state's licensing board for more information. Employers usually prefer to hire candidates with certification that indicates their competency in the occupation. Certification typically requires that candidates meet education requirements to sit for exams and complete continuing education requirements to maintain it. Compassion. Orthotists and prosthetists work with patients who may have experienced injury or illness. They must be understanding and sympathetic in their interactions with these patients. Communication skills. Orthotists and prosthetists must be able to explain to patients how to use and care for their medical devices. They also must communicate details about the devices with other healthcare workers, including physicians and surgeons, physical therapists, and medical appliance technicians. Detail oriented. Orthotists and prosthetists must be precise when taking and recording measurements to ensure that devices fit properly. Dexterity. Orthotists and prosthetists must be adept at working with their hands to fit, construct, and adapt devices that have intricate mechanical parts. Interpersonal skills. Orthotists and prosthetists meet with patients and their families. They also collaborate on patient care with other members of the healthcare team. Physical stamina. Orthotists and prosthetists may spend a lot of time bending or crouching to examine or measure patients. Problem-solving skills. Orthotists and prosthetists evaluate their patients' needs to find creative solutions for rehabilitation.","Compassion., Communication skills., Detail oriented., Dexterity., Interpersonal skills., Physical stamina., Problem-solving skills.",
Pharmacists,https://www.bls.gov/ooh/healthcare/pharmacists.htm,"$136,030 per year",$65.40 per hour,5% (As fast as average),Doctoral or professional degree,None,None,"337,700","18,300","Fill prescriptions to the proper amount based on physicians’ instructions, Check patients’ allergies, medical conditions, and other drugs they are taking to ensure that the newly prescribed medication does not cause adverse reaction, Instruct patients on proper use, side effects, and storage of prescribed medicine, Administer vaccinations, such as flu shots, Advise patients about general health topics, such as exercise and managing stress, and on other issues, such as what equipment or supplies would be best to treat a health problem, Work with insurance companies to resolve billing issues, Supervise the work of pharmacy technicians and pharmacists in training (interns), Maintain patient and pharmacy records, Educate other healthcare workers about proper medication therapies for patients","Pharmacists typically need a Doctor of Pharmacy (Pharm.D.) degree from an accredited pharmacy program. Every state requires pharmacists to be licensed. Pharmacists typically need a Doctor of Pharmacy (Pharm.D.) degree from an accredited pharmacy program. (A list of accredited programs is available from the Accreditation Council for Pharmacy Education (ACPE).) Admission requirements vary; however, Pharm.D. programs typically require applicants to have at least 2 years of prerequisite undergraduate courses in subjects such as anatomy and physiology, physics, and statistics. Some Pharm.D. programs require or prefer that applicants have a bachelor’s degree in biology, a healthcare and related, or a physical science field, such as chemistry. Pharm.D. programs usually take 4 years to finish, although some programs offer a 3-year option. Others admit high school graduates into a 6-year program. Pharm.D. programs include courses in sciences, pharmacology, and pharmacy law. Students also complete supervised work experiences, sometimes referred to as internships, in settings such as hospitals and retail pharmacies. Some pharmacy programs offer a dual-degree option. These programs allow students to get another graduate degree, such as a master’s degree in business administration (MBA) or a master’s degree in public health (MPH), along with their Pharm.D. degree. Following graduation from a Pharm.D. program, pharmacists seeking a clinical or other advanced position may opt to complete a residency or fellowship. These program typically last 1 to 2 years and provide additional training and research opportunities. Pharmacists who choose a 2-year residency program train in a specialty area such as cardiology, internal medicine, or pediatric care. All states require pharmacists to be licensed, although licensure requirements vary. After completing their degree, prospective pharmacists typically must pass two exams to get a license. The North American Pharmacist Licensure Exam (NAPLEX) tests pharmacy skills and knowledge and is required in all states. The Multistate Pharmacy Jurisprudence Exam (MPJE) or state-specific test on pharmacy law is also required. Applicants also must complete a state-specified number of hours as an intern. To maintain licensure, pharmacists must complete continuing education. In most states, pharmacists must be certified to administer vaccinations. For information about certification, see the American Pharmacists Association’s Pharmacy-Based Immunization Delivery program. Pharmacists may choose to earn a certification to show advanced knowledge in a specific field. For example, a pharmacist may become a Certified Diabetes Care and Education Specialist, a credential offered by the Certification Board for Diabetes Care and Education, or earn certification in a specialty area, such as emergency care or oncology, from the Board of Pharmacy Specialties. Certifications from both organizations generally require applicants to have work experience and pass an exam. Analytical skills. Pharmacists must evaluate the contents and side effects of prescribed medication to ensure that the patient may safely take it. Communication skills. Pharmacists frequently must explain to patients about how to take medication and what its potential side effects are. They also may need to convey information to pharmacy technicians, interns, and other healthcare staff. Compassion. Pharmacists often work with people who have health issues. They must be sympathetic to patients’ problems and needs. Detail oriented. Pharmacists are responsible for accurately providing the appropriate medication for each patient. Interpersonal skills. Pharmacists spend much of their time interacting with patients and as part of a healthcare team coordinating patient care. Managerial skills. Pharmacists, particularly those who run a retail pharmacy, must have good leadership skills. These skills include ability to oversee inventory and direct staff.","Analytical skills., Communication skills., Compassion., Detail oriented., Interpersonal skills., Managerial skills.",Certification Board for Diabetes Care and Education
Pharmacy Technicians,https://www.bls.gov/ooh/healthcare/pharmacy-technicians.htm,"$40,300 per year",$19.37 per hour,7% (Faster than average),High school diploma or equivalent,None,Moderate-term on-the-job training,"463,900","33,300","Collect information needed to fill a prescription from customers or health professionals, Measure amounts of medication for prescriptions, Package and label prescriptions, Organize inventory and alert pharmacists to any shortages of medications or supplies, Accept payment for prescriptions and process insurance claims, Enter customer or patient information, including any prescriptions taken, into a computer system, Answer phone calls from customers, Arrange for customers to speak with pharmacists if customers have questions about medications or health matters","Pharmacy technicians usually need a high school diploma or equivalent and learn their duties through on-the-job training, or they may complete a postsecondary education program in pharmacy technology. Most states regulate pharmacy technicians, which is a process that may require passing an exam or completing a formal education or training program. Pharmacy technicians usually need a high school diploma or equivalent and typically learn their duties through on-the-job training. The training periods vary in length and subject matter according to the employer’s requirements. Other pharmacy technicians enter the occupation after completing postsecondary education programs in pharmacy technology. These programs are usually offered by vocational schools or community colleges. Most programs award a certificate after 1 year or less, although some programs last longer and lead to an associate’s degree. They cover a variety of subjects, such as arithmetic used in pharmacies, recordkeeping, ways of dispensing medications, and pharmacy law and ethics. Technicians also learn the names, uses, and doses of medications. Most programs also include clinical experience opportunities, in which students gain hands-on experience in a pharmacy. The American Society of Health-System Pharmacists (ASHP) accredits pharmacy technician programs that include at least 600 hours of instruction over a minimum of 15 weeks. In 2017, there were 309 fully accredited programs, including a few in retail drugstore chains. Most states regulate pharmacy technicians in some way. Consult state Boards of Pharmacy for particular regulations. Requirements for pharmacy technicians in the states that regulate them typically include some or all of the following: Some states and employers require pharmacy technicians to be certified. Even where it is not required, certification may make it easier to get a job. Many employers of pharmacy technicians will pay for employees to take the certification exam. Two organizations offer certification. The Pharmacy Technician Certification Board (PTCB) certification requires a high school diploma and the passing of an exam. Applicants for the National Healthcareer Association (NHA) certification must be at least 18 years old, have a high school diploma, and have completed a training program or have 1 year of work experience. Technicians must recertify every 2 years by completing 20 hours of continuing education courses. Customer-service skills. Pharmacy technicians spend much of their time interacting with customers, so being helpful and polite is required of pharmacy technicians in a retail setting. Detail oriented. Serious health problems can result from mistakes in filling prescriptions. Although the pharmacist is responsible for ensuring the safety of all medications dispensed, pharmacy technicians should pay attention to detail so that complications are avoided. Listening skills. Pharmacy technicians must communicate clearly with pharmacists and doctors when taking prescription orders. When speaking with customers, technicians must listen carefully to understand customers’ needs and determine if they need to speak with a pharmacist. Math skills. Pharmacy technicians need to have an understanding of the math concepts used in pharmacies when counting pills and compounding medications. Organizational skills. Working as a pharmacy technician involves balancing a variety of responsibilities. Pharmacy technicians need good organizational skills to complete the work delegated by pharmacists while at the same time providing service to customers or patients.","Customer-service skills., Detail oriented., Listening skills., Math skills., Organizational skills.",Pharmacy Technician Certification Board
